Muhammad Abduh,Jamal ad-Din al-Afghani
David George Ritchie,Thomas Hill Green
Paul Grice,Aristotle
Paul Grice,P. F. Strawson
P. F. Strawson,Paul Grice
John Searle,Paul Grice
Stephen Schiffer,Paul Grice
Dan Sperber,Paul Grice
Deirdre Wilson,Paul Grice
Stephen Neale,Paul Grice
Jonathan Bennett (philosopher),Paul Grice
Kent Bach,Paul Grice
Ernest Lepore,Paul Grice
Stephen C. Levinson,Paul Grice
Robert Grosseteste,Anselm of Canterbury
Robert Grosseteste,Averroes
Roger Bacon,Robert Grosseteste
Thomas Bradwardine,Robert Grosseteste
Thomas Hobbes,Robert Grosseteste
Hugo Grotius,Alberico Gentili
Hugo Grotius,Jean Bodin
Hugo Grotius,Francisco Su\xc3\xa1rez
Gustavus Adolphus of Sweden,Hugo Grotius
John Milton,Hugo Grotius
John Selden,Hugo Grotius
Thomas Hobbes,Hugo Grotius
Richard Cumberland (philosopher),Hugo Grotius
Samuel von Pufendorf,Hugo Grotius
John Locke,Hugo Grotius
Jean-Jacques Rousseau,Hugo Grotius
Giambattista Vico,Hugo Grotius
Cornelius van Bynkershoek,Hugo Grotius
Jean Barbeyrac,Hugo Grotius
Adolf Gr\xc3\xbcnbaum,Hans Reichenbach
Frederick Crews,Adolf Gr\xc3\xbcnbaum
J\xc3\xbcrgen Habermas,Max Weber
J\xc3\xbcrgen Habermas,\xc3\x89mile Durkheim
J\xc3\xbcrgen Habermas,George Herbert Mead
J\xc3\xbcrgen Habermas,Karl Marx
J\xc3\xbcrgen Habermas,Wilhelm Dilthey
J\xc3\xbcrgen Habermas,Talcott Parsons
J\xc3\xbcrgen Habermas,Immanuel Kant
J\xc3\xbcrgen Habermas,Friedrich Wilhelm Joseph Schelling
J\xc3\xbcrgen Habermas,Hegel
J\xc3\xbcrgen Habermas,Martin Heidegger
J\xc3\xbcrgen Habermas,Jean Piaget
J\xc3\xbcrgen Habermas,Max Horkheimer
J\xc3\xbcrgen Habermas,Theodor W. Adorno
J\xc3\xbcrgen Habermas,Herbert Marcuse
J\xc3\xbcrgen Habermas,Ludwig Wittgenstein
J\xc3\xbcrgen Habermas,Charles Sanders Peirce
J\xc3\xbcrgen Habermas,J. L. Austin
J\xc3\xbcrgen Habermas,Wolfgang Abendroth
Claus Offe,J\xc3\xbcrgen Habermas
Axel Honneth,J\xc3\xbcrgen Habermas
Thomas A. McCarthy,J\xc3\xbcrgen Habermas
Hans-Hermann Hoppe,J\xc3\xbcrgen Habermas
Seyla Benhabib,J\xc3\xbcrgen Habermas
Nancy Fraser,J\xc3\xbcrgen Habermas
Michael Friedman (philosopher),J\xc3\xbcrgen Habermas
Nikolas Kompridis,J\xc3\xbcrgen Habermas
Ian Hacking,Michel Foucault
Ian Hacking,Paul Feyerabend
Ian Hacking,Nelson Goodman
Ian Hacking,Thomas Kuhn
Ian Hacking,Charles Sanders Peirce
Ian Hacking,Ludwig Wittgenstein
Ian Hacking,J. L. Austin
Ian Hacking,Casimir Lewy
David Papineau,Ian Hacking
Johann Georg Hamann,David Hume
Johann Georg Hamann,Martin Knutzen
Johann Wolfgang von Goethe,Johann Georg Hamann
Hegel,Johann Georg Hamann
Johann Gottfried Herder,Johann Georg Hamann
Friedrich Heinrich Jacobi,Johann Georg Hamann
Kierkegaard,Johann Georg Hamann
Friedrich Wilhelm Joseph Schelling,Johann Georg Hamann
Christian Jakob Kraus,Johann Georg Hamann
Sir William Hamilton, 9th Baronet
Norwood Russell Hanson,Ludwig Wittgenstein
Thomas Kuhn,Norwood Russell Hanson
R. M. Hare,Immanuel Kant
R. M. Hare,A. J. Ayer
R. M. Hare,J. L. Austin
R. M. Hare,Ludwig Wittgenstein
Peter Singer,R. M. Hare
Bernard Williams,R. M. Hare
Brian McGuinness,R. M. Hare
John E. Hare,R. M. Hare
Gilbert Harman,Willard Van Orman Quine
Gilbert Harman,Noam Chomsky
Stephen Stich,Gilbert Harman
Joshua Knobe,Gilbert Harman
H. L. A. Hart,Jeremy Bentham
H. L. A. Hart,John Austin (legal philosopher)
H. L. A. Hart,J. L. Austin
H. L. A. Hart,Ludwig Wittgenstein
H. L. A. Hart,Hans Kelsen
H. L. A. Hart,Max Weber
H. L. A. Hart,Tony Honor\xc3\xa9
Ronald Dworkin,H. L. A. Hart
John Rawls,H. L. A. Hart
Joseph Raz,H. L. A. Hart
John Finnis,H. L. A. Hart
Neil MacCormick,H. L. A. Hart
Brian Barry,H. L. A. Hart
John Gardner (law),H. L. A. Hart
Tony Honor\xc3\xa9,H. L. A. Hart
David Hartley (philosopher),John Locke
David Hartley (philosopher),Thomas Reid
David Hartley (philosopher),Isaac Newton
James Mill,David Hartley (philosopher)
William James,David Hartley (philosopher)
William Wordsworth,David Hartley (philosopher)
Karl Robert Eduard von Hartmann,Hegel
Karl Robert Eduard von Hartmann,Arthur Schopenhauer
Karl Robert Eduard von Hartmann,Max Stirner
Karl Robert Eduard von Hartmann,Carl Gustav Carus
Rudolf Steiner,Karl Robert Eduard von Hartmann
Sigmund Freud,Karl Robert Eduard von Hartmann
Carl Jung,Karl Robert Eduard von Hartmann
Hans Vaihinger,Karl Robert Eduard von Hartmann
Arthur Drews,Karl Robert Eduard von Hartmann
Nicolai Hartmann,Hermann Cohen
Nicolai Hartmann,Paul Natorp
Nicolai Hartmann,Immanuel Kant
Nicolai Hartmann,Hegel
Nicolai Hartmann,Plato
Nicolai Hartmann,Max Scheler
Max Scheler,Nicolai Hartmann
Jitendra Nath Mohanty,Nicolai Hartmann
Charles Hartshorne,Alfred North Whitehead
Charles Hartshorne,Charles Sanders Peirce
Charles Hartshorne,William Ernest Hocking
Charles Hartshorne,Josiah Royce
Charles Hartshorne,Jules Lequier
John B. Cobb,Charles Hartshorne
David Ray Griffin,Charles Hartshorne
Descartes,William Harvey
Hegel,Aristotle
Hegel,Jakob B\xc3\xb6hme
Hegel,Johann Gottlieb Fichte
Hegel,Heraclitus
Hegel,Johann Gottfried Herder
Hegel,Immanuel Kant
Hegel,Jean-Jacques Rousseau
Hegel,Baruch Spinoza
Hegel,Friedrich Wilhelm Joseph Schelling
Hegel,Friedrich Schiller
Theodor W. Adorno,Hegel
Karl Barth,Hegel
Bruno Bauer,Hegel
Bernard Bosanquet (philosopher),Hegel
F. H. Bradley,Hegel
Robert Brandom,Hegel
Simone de Beauvoir,Hegel
Judith Butler,Hegel
Heinrich Moritz Chalyb\xc3\xa4us,Hegel
Benedetto Croce,Hegel
Jacques Derrida,Hegel
Friedrich Engels,Hegel
Ludwig Feuerbach,Hegel
Kuno Fischer,Hegel
Francis Fukuyama,Hegel
Giovanni Gentile,Hegel
Jean Hyppolite,Hegel
Walter Kaufmann (philosopher),Hegel
Kierkegaard,Hegel
Alexandre Koj\xc3\xa8ve,Hegel
Hans K\xc3\xbcng,Hegel
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Hegel
Herbert Marcuse,Hegel
Karl Marx,Hegel
Edgar Morin,Hegel
John McDowell,Hegel
Robert B. Pippin,Hegel
Gillian Rose,Hegel
Johann Karl Friedrich Rosenkranz,Hegel
John Russon,Hegel
Jean-Paul Sartre,Hegel
Peter Singer,Hegel
Max Stirner,Hegel
David Strauss,Hegel
Charles Taylor (philosopher),Hegel
Slavoj \xc5\xbdi\xc5\xbeek,Hegel
Martin Heidegger,Anaximander
Martin Heidegger,Aristotle
Martin Heidegger,Augustine of Hippo
Martin Heidegger,Franz Brentano
Martin Heidegger,Friedrich Wilhelm Joseph Schelling
Martin Heidegger,Wilhelm Dilthey
Martin Heidegger,Nicolai Hartmann
Martin Heidegger,Hegel
Martin Heidegger,Heraclitus
Martin Heidegger,Friedrich H\xc3\xb6lderlin
Martin Heidegger,Edmund Husserl
Martin Heidegger,Karl Jaspers
Martin Heidegger,Immanuel Kant
Martin Heidegger,Thomas Aquinas
Martin Heidegger,Kierkegaard
Martin Heidegger,Laozi
Martin Heidegger,Emil Lask
Martin Heidegger,Friedrich Nietzsche
Martin Heidegger,Jakob von Uexk\xc3\xbcll
Martin Heidegger,Parmenides
Martin Heidegger,Plato
Martin Heidegger,Heinrich Rickert
Martin Heidegger,Duns Scotus
Martin Heidegger,Thomas of Erfurt
Martin Heidegger,Paul Yorck von Wartenburg
Giorgio Agamben,Martin Heidegger
Hannah Arendt,Martin Heidegger
Jean Beaufret,Martin Heidegger
Maurice Blanchot,Martin Heidegger
Albert Borgmann,Martin Heidegger
Rudolf Bultmann,Martin Heidegger
Jacques Derrida,Martin Heidegger
Hubert Dreyfus,Martin Heidegger
Aleksandr Dugin,Martin Heidegger
Nader El-Bizri,Martin Heidegger
Michel Foucault,Martin Heidegger
Hans-Georg Gadamer,Martin Heidegger
Karl Jaspers,Martin Heidegger
Hans Jonas,Martin Heidegger
Mario Kopi\xc4\x87,Martin Heidegger
Kuki Sh\xc5\xabz\xc5\x8d,Martin Heidegger
Emmanuel Levinas,Martin Heidegger
Karl L\xc3\xb6with,Martin Heidegger
Gabriel Marcel,Martin Heidegger
Herbert Marcuse,Martin Heidegger
Jean-Luc Marion,Martin Heidegger
Maurice Merleau-Ponty,Martin Heidegger
Jean-Luc Nancy,Martin Heidegger
Christian Norberg-Schulz,Martin Heidegger
Jan Pato\xc4\x8dka,Martin Heidegger
Richard Rorty,Martin Heidegger
Jean-Paul Sartre,Martin Heidegger
Reiner Sch\xc3\xbcrmann,Martin Heidegger
Peter Sloterdijk,Martin Heidegger
Bernard Stiegler,Martin Heidegger
Leo Strauss,Martin Heidegger
Robert D\xc3\xb6pel,Werner Heisenberg
Carl Friedrich von Weizs\xc3\xa4cker,Werner Heisenberg
Hermann von Helmholtz,Johann Gottlieb Fichte
Hermann von Helmholtz,Immanuel Kant
Hermann von Helmholtz,Hermann Lotze
Friedrich Albert Lange,Hermann von Helmholtz
Ludwig Wittgenstein,Hermann von Helmholtz
Claude Adrien Helv\xc3\xa9tius,John Locke
Claude Adrien Helv\xc3\xa9tius,\xc3\x89tienne Bonnot de Condillac
Jeremy Bentham,Claude Adrien Helv\xc3\xa9tius
Karl Marx,Claude Adrien Helv\xc3\xa9tius
Carl Gustav Hempel,Hans Reichenbach
Jaegwon Kim,Carl Gustav Hempel
Robert Nozick,Carl Gustav Hempel
Richard Jeffrey,Carl Gustav Hempel
John Earman,Carl Gustav Hempel
Philip Kitcher,Carl Gustav Hempel
Peter Achinstein,Carl Gustav Hempel
Lawrence Sklar,Carl Gustav Hempel
Henry Harclay,John Duns Scotus
William of Ockham,Henry Harclay
Heraclitus,Anaximander
Heraclitus,Pythagoras
Heraclitus,Bias of Priene
Heraclitus,Zoroaster
Parmenides,Heraclitus
Plato,Heraclitus
Aristotle,Heraclitus
Stoicism,Heraclitus
Hegel,Heraclitus
Friedrich Engels,Heraclitus
Friedrich Nietzsche,Heraclitus
Martin Heidegger,Heraclitus
Alfred North Whitehead,Heraclitus
Oswald Spengler,Heraclitus
Karl Popper,Heraclitus
Terence McKenna,Heraclitus
Walter Pater,Heraclitus
D. H. Lawrence,Heraclitus
Johann Friedrich Herbart,Immanuel Kant
Johann Friedrich Herbart,Johann Gottlieb Fichte
Friedrich Eduard Beneke,Johann Friedrich Herbart
Hermann Lotze,Johann Friedrich Herbart
Wilhelm Windelband,Johann Friedrich Herbart
Immanuel Hermann Fichte,Johann Friedrich Herbart
Edmund Husserl,Johann Friedrich Herbart
Antonio Labriola,Johann Friedrich Herbart
Moritz Wilhelm Drobisch,Johann Friedrich Herbart
Johann Gottfried Herder,Johann Georg Hamann
Johann Gottfried Herder,Immanuel Kant
Johann Gottfried Herder,Baruch Spinoza
Johann Gottfried Herder,Kalidasa
Johann Gottfried Herder,Johann August Ernesti
Johann Gottfried Herder,Johann Joachim Winckelmann
Johann Gottfried Herder,Thomas Abbt
\xc4\xbdudov\xc3\xadt \xc5\xa0t\xc3\xbar,Johann Gottfried Herder
Hegel,Johann Gottfried Herder
Friedrich Schleiermacher,Johann Gottfried Herder
Wilhelm Dilthey,Johann Gottfried Herder
Friedrich Nietzsche,Johann Gottfried Herder
August Wilhelm Schlegel,Johann Gottfried Herder
Karl Wilhelm Friedrich Schlegel,Johann Gottfried Herder
Wilhelm von Humboldt,Johann Gottfried Herder
Johann Wolfgang von Goethe,Johann Gottfried Herder
Johann Christoph Adelung,Johann Gottfried Herder
J. S. Mill,Johann Gottfried Herder
Franz Boas,Johann Gottfried Herder
Alexander Herzen,Pierre-Joseph Proudhon
Alexander Herzen,Hegel
Alexander Herzen,Jean-Jacques Rousseau
Kropotkin,Alexander Herzen
Vladimir Lenin,Alexander Herzen
Leon Trotsky,Alexander Herzen
Mao Zedong,Alexander Herzen
Che Guevara,Alexander Herzen
Mikhail Bakunin,Alexander Herzen
Jean-Paul Sartre,Alexander Herzen
Isaiah Berlin,Alexander Herzen
Frankfurt School,Alexander Herzen
Thomas Hobbes,Aristotle
Thomas Hobbes,Thucydides
Thomas Hobbes,Tacitus
Thomas Hobbes,Descartes
Thomas Hobbes,Hugo Grotius
Thomas Hobbes,Niccol\xc3\xb2 Machiavelli
Thomas Hobbes,Francis Bacon
Thomas Hobbes,Roger Bacon
Thomas Hobbes,Robert Grosseteste
Political philosophy,Thomas Hobbes
Jurisprudence,Thomas Hobbes
Sociology,Thomas Hobbes
Baron d\'Holbach,Pierre Bayle
Baron d\'Holbach,Thomas Hobbes
Karl Marx,Baron d\'Holbach
Michel Onfray,Baron d\'Holbach
Adam Weishaupt,Baron d\'Holbach
Edwin Holt,William James
Bruce Kuklick,Edwin Holt
Robert Yerkes,Edwin Holt
Floyd Henry Allport,Edwin Holt
Gordon Allport,Edwin Holt
Edward C. Tolman,Edwin Holt
James J. Gibson,Edwin Holt
Joseph Jastrow,Edwin Holt
B.F. Skinner,Edwin Holt
Samuel Alexander,Edwin Holt
John Anderson (philosopher),Edwin Holt
Sidney Hook,John Dewey
Sidney Hook,Morris Raphael Cohen
Sidney Hook,Karl Marx
Sidney Hook,Bertrand Russell
Paul Kurtz,Sidney Hook
Morris Janowitz,Sidney Hook
Lionel Trilling,Sidney Hook
Barbara Branden,Sidney Hook
Max Horkheimer,Immanuel Kant
Max Horkheimer,Hegel
Max Horkheimer,Friedrich Pollock
Max Horkheimer,Theodor Adorno
Max Horkheimer,Hans Cornelius
Max Horkheimer,Wilhelm Dilthey
Max Horkheimer,Arthur Schopenhauer
Max Horkheimer,Karl Marx
Max Horkheimer,Sigmund Freud
Theodor Adorno,Max Horkheimer
Herbert Marcuse,Max Horkheimer
J\xc3\xbcrgen Habermas,Max Horkheimer
Walter Benjamin,Max Horkheimer
Erich Fromm,Max Horkheimer
Wilhelm von Humboldt,Immanuel Kant
Wilhelm von Humboldt,J. G. Fichte
Wilhelm von Humboldt,Christian Jakob Kraus
Wilhelm von Humboldt,Johann Gottfried Herder
August Schleicher,Wilhelm von Humboldt
Valentin Voloshinov,Wilhelm von Humboldt
Alexander Potebnja,Wilhelm von Humboldt
Joxe Azurmendi,Wilhelm von Humboldt
John Stuart Mill,Wilhelm von Humboldt
Noam Chomsky,Wilhelm von Humboldt
Ernst Cassirer,Wilhelm von Humboldt
David Hume,George Berkeley
David Hume,Cicero
David Hume,Thomas Hobbes
David Hume,Francis Hutcheson (philosopher)
David Hume,John Locke
David Hume,Nicolas Malebranche
David Hume,Isaac Newton
David Hume,Jean-Jacques Rousseau
David Hume,Adam Smith
Alfred Jules Ayer,David Hume
Simon Blackburn,David Hume
Gilles Deleuze,David Hume
Jorge Luis Borges,David Hume
Daniel Dennett,David Hume
Albert Einstein,David Hume
Jerry Fodor,David Hume
Alexander Hamilton,David Hume
Edmund Husserl,David Hume
Thomas Jefferson,David Hume
William James,David Hume
Immanuel Kant,David Hume
J. L. Mackie,David Hume
James Madison,David Hume
John Stuart Mill,David Hume
Karl Popper,David Hume
Thomas Reid,David Hume
Bertrand Russell,David Hume
Arthur Schopenhauer,David Hume
Adam Smith,David Hume
Jan Hus,John Wycliffe
John Wesley,Jan Hus
Jerome of Prague,Jan Hus
Martin Luther,Jan Hus
Edmund Husserl,Franz Brentano
Edmund Husserl,Carl Stumpf
Edmund Husserl,Karl Weierstrass
Edmund Husserl,Bernard Bolzano
Edmund Husserl,Benno Kerry
Edmund Husserl,Descartes
Edmund Husserl,Immanuel Kant
Edmund Husserl,David Hume
Edmund Husserl,Hermann Lotze
Edmund Husserl,Wilhelm Windelband
Edmund Husserl,Heinrich Rickert
Edmund Husserl,Gottfried Wilhelm Leibniz
Edmund Husserl,Plato
Max Scheler,Edmund Husserl
Martin Heidegger,Edmund Husserl
Adolf Reinach,Edmund Husserl
Edith Stein,Edmund Husserl
Leo Strauss,Edmund Husserl
Emmanuel Levinas,Edmund Husserl
Jean-Paul Sartre,Edmund Husserl
Maurice Merleau-Ponty,Edmund Husserl
Alfred Sch\xc3\xbctz,Edmund Husserl
Roman Ingarden,Edmund Husserl
Paul Ric\xc5\x93ur,Edmund Husserl
Kurt G\xc3\xb6del,Edmund Husserl
John Paul II,Edmund Husserl
Rudolf Carnap,Edmund Husserl
Jacques Derrida,Edmund Husserl
Leszek Ko\xc5\x82akowski,Edmund Husserl
Jos\xc3\xa9 Ortega y Gasset,Edmund Husserl
Eugen Fink,Edmund Husserl
Hans Blumenberg,Edmund Husserl
Bernard Stiegler,Edmund Husserl
Ludwig Landgrebe,Edmund Husserl
Marvin Farber,Edmund Husserl
Jan Pato\xc4\x8dka,Edmund Husserl
Dallas Willard,Edmund Husserl
Shaun Gallagher,Edmund Husserl
Dan Zahavi,Edmund Husserl
Nader El-Bizri,Edmund Husserl
Hans K\xc3\xb6chler,Edmund Husserl
Hermann Weyl,Edmund Husserl
Gabriel Marcel,Edmund Husserl
Wilfrid Sellars,Edmund Husserl
Hilary Putnam,Edmund Husserl
Gilbert Ryle,Edmund Husserl
Xavier Zubiri,Edmund Husserl
Francis Hutcheson (philosopher),Cicero
Francis Hutcheson (philosopher),John Locke
Joseph Butler,Francis Hutcheson (philosopher)
Jeremy Bentham,Francis Hutcheson (philosopher)
David Hume,Francis Hutcheson (philosopher)
Adam Smith,Francis Hutcheson (philosopher)
Thomas Henry Huxley,Edward Forbes
Thomas Henry Huxley,Charles Darwin
Patrick Geddes,Thomas Henry Huxley
Henry Fairfield Osborn,Thomas Henry Huxley
H. G. Wells,Thomas Henry Huxley
E. Ray Lankester,Thomas Henry Huxley
William Henry Flower,Thomas Henry Huxley
Aldous Huxley,Thomas Henry Huxley
Julian Huxley,Thomas Henry Huxley
Christiaan Huygens,Galileo Galilei
Christiaan Huygens,Descartes
Christiaan Huygens,Frans van Schooten
Gottfried Wilhelm Leibniz,Christiaan Huygens
Isaac Newton,Christiaan Huygens
Hypatia,Plato
Hypatia,Plotinus
Hypatia,Aristotle
Hypatia,Theon of Alexandria
Damascius,Hypatia
Synesius of Cyrene,Hypatia
Jean Hyppolite,Jean Cavaill\xc3\xa8s
Jean Hyppolite,Karl Marx
Jean Hyppolite,Hegel
Michel Foucault,Jean Hyppolite
Gilles Deleuze,Jean Hyppolite
Jacques Derrida,Jean Hyppolite
G\xc3\xa9rard Granel,Jean Hyppolite
\xc3\x89tienne Balibar,Jean Hyppolite
Iamblichus,Porphyry (philosopher)
Iamblichus,Pythagoras
Iamblichus,Neopythagoreanism
Iamblichus,Aristotle
Iamblichus,Plato
Proclus,Iamblichus
Aedesius,Iamblichus
Ibn Arabi,Abu Madyan
Ibn Arabi,Mohammed ibn Qasim al-Tamimi
Ibn al-Farid,Ibn Arabi
Abu Said al-Baji,Ibn Arabi
Fairuzabadi,Ibn Arabi
Al-Suyuti,Ibn Arabi
Ahmed Mohammed al-Maqqari,Ibn Arabi
Yusuf an-Nabhani,Ibn Arabi
Ibn Tufail,Avempace
Al-Bitruji,Avempace
Averroes,Avempace
Ibn Hazm,Dawud al-Zahiri
Dawud al-Zahiri,Ibn Hazm
Ibn Khaldun,Ibn Jarir
Ibn Khaldun,Ibn Hazm
Ibn Khaldun,At-Turtushi
Ibn Khaldun,Ibn Abi Zar
Ibn Khaldun,Muhammad ibn Zakar\xc4\xabya R\xc4\x81zi
Ibn Jarir,Ibn Khaldun
Ibn Hazm,Ibn Khaldun
At-Turtushi,Ibn Khaldun
Ibn Abi Zar,Ibn Khaldun
Muhammad ibn Zakar\xc4\xabya R\xc4\x81zi,Ibn Khaldun
Ibn al-Khatib,Ibn Khaldun
Ibn al-Azraq,Ibn Khaldun
Abu Yahya ibn al-Sakkak,Ibn Khaldun
Al-Maqrizi,Ibn Khaldun
Miskawayh,Adurbad-e Mahrspandan
Miskawayh,Al-Kindi
Adurbad-e Mahrspandan,Miskawayh
Al-Kindi,Miskawayh
Ibn Taymiyyah,Ahmad ibn Hanbal
Ahmad ibn Hanbal,Ibn Taymiyyah
Ibn Qayyim Al-Jawziyya,Ibn Taymiyyah
Al-Dhahabi,Ibn Taymiyyah
Ibn Muflih,Ibn Taymiyyah
Yusuf ibn Abd al-Rahman al-Mizzi,Ibn Taymiyyah
Ibn Abd al-Hadi,Ibn Taymiyyah
Ibn Kathir,Ibn Taymiyyah
Ibn al-Wardi,Ibn Taymiyyah
Abul A\'la Maududi,Ibn Taymiyyah
Muhammad ibn Abd al-Wahhab,Ibn Taymiyyah
Ibn Tufail,Plato
Ibn Tufail,Aristotle
Ibn Tufail,Al-Farabi
Ibn Tufail,Avicenna
Ibn Tufail,Avicennism
Ibn Tufail,Al-Ghazali
Ibn Tufail,Ash\'ari
Ibn Tufail,Sufism
Ibn Tufail,Ibn Tumart
Ibn Tufail,Ibn Bajjah
Ibn Tufail,Abu Yaqub Yusuf
Ibn Tufail,Muhammad
Plato,Ibn Tufail
Aristotle,Ibn Tufail
Al-Farabi,Ibn Tufail
Avicenna,Ibn Tufail
Avicennism,Ibn Tufail
Al-Ghazali,Ibn Tufail
Ash\'ari,Ibn Tufail
Sufism,Ibn Tufail
Ibn Tumart,Ibn Tufail
Ibn Bajjah,Ibn Tufail
Abu Yaqub Yusuf,Ibn Tufail
Muhammad,Ibn Tufail
Evald Ilyenkov,Karl Marx
Evald Ilyenkov,Hegel
Evald Ilyenkov,Engels
Evald Ilyenkov,Lenin
Evald Ilyenkov,Baruch Spinoza
Evald Ilyenkov,Vygotsky
Vasily Davydov,Evald Ilyenkov
Valerij Kovalenko (page does not exist),Evald Ilyenkov
Lev Naumenko (page does not exist),Evald Ilyenkov
Sergei Mareev (page does not exist),Evald Ilyenkov
Roman Ingarden,Edmund Husserl
Roman Ingarden,Immanuel Kant
Roman Ingarden,Kazimierz Twardowski
Ren\xc3\xa9 Wellek,Roman Ingarden
Wolfgang Iser,Roman Ingarden
Anna-Teresa Tymieniecka,Roman Ingarden
Muhammad Iqbal,Mir Sayyid Ali Hamadani
Muhammad Iqbal,Syed Mir Hassan
Muhammad Iqbal,Rumi
Muhammad Iqbal,Johann Wolfgang von Goethe
Muhammad Iqbal,Friedrich Nietzsche
Muhammad Iqbal,Henri Bergson
Muhammad Iqbal,Thomas Walker Arnold
Israr Ahmed,Muhammad Iqbal
Muhammad Ali Jinnah,Muhammad Iqbal
Pakistan Movement,Muhammad Iqbal
Islamic Republic of Pakistan,Muhammad Iqbal
Ale Ahmed Suroor,Muhammad Iqbal
Ali Shariati,Muhammad Iqbal
Fateh Muhammad Malik,Muhammad Iqbal
Luce Irigaray,Sigmund Freud
Luce Irigaray,Jacques Lacan
Luce Irigaray,Emmanuel Levinas
Luce Irigaray,Jacques Derrida
Luce Irigaray,Maurice Merleau-Ponty
Luce Irigaray,Martin Heidegger
Catherine Malabou,Luce Irigaray
Judith Butler,Luce Irigaray
Elizabeth Grosz,Luce Irigaray
Friedrich Heinrich Jacobi,Adam Smith
Friedrich Heinrich Jacobi,Thomas Reid
Friedrich Heinrich Jacobi,David Hume
Friedrich Heinrich Jacobi,Baruch Spinoza
Friedrich Heinrich Jacobi,Gottfried Leibniz
Friedrich Heinrich Jacobi,Christian Wolff (philosopher)
Friedrich Heinrich Jacobi,Johann Wolfgang von Goethe
Friedrich Heinrich Jacobi,Johann Georg
Friedrich Heinrich Jacobi,Immanuel Kant
Friedrich Heinrich Jacobi,Moses Mendelssohn
Johann Gottlieb Fichte,Friedrich Heinrich Jacobi
Hegel,Friedrich Heinrich Jacobi
Kierkegaard,Friedrich Heinrich Jacobi
Martin Heidegger,Friedrich Heinrich Jacobi
Moses Mendelssohn,Friedrich Heinrich Jacobi
Friedrich Wilhelm Joseph Schelling,Friedrich Heinrich Jacobi
Jakob Friedrich Fries,Friedrich Heinrich Jacobi
Victor Cousin,Friedrich Heinrich Jacobi
Ludwig Feuerbach,Friedrich Heinrich Jacobi
Leo Strauss,Friedrich Heinrich Jacobi
William James,Charles Sanders Peirce
William James,David Hume
William James,Jules Lequier
William James,African Spir
William James,Emanuel Swedenborg
William James,F. C. S. Schiller
William James,David Hartley (philosopher)
William James,Charles Bernard Renouvier
William James,Hermann Helmholtz
William James,Pierre Janet
William James,Ernst Mach
William James,Louis Agassiz
William James,Georg Friedrich Bernhard Riemann
William James,William Kingdon Clifford
John Dewey,William James
Edmund Husserl,William James
F. C. S. Schiller,William James
Henri Bergson,William James
George Santayana,William James
Hilary Putnam,William James
Richard Rorty,William James
Ludwig Wittgenstein,William James
Morris Raphael Cohen,William James
